,J1,J2,J3,J4,J5,J6
5.28,0.0,50.3,-76.0,115.8,-90.0,0.0
5.36,0.0,50.3,-76.0,115.8,-90.0,0.0
5.44,0.0,50.3,-76.0,115.8,-90.0,0.0
5.520,0.0,50.3,-76.0,115.8,-90.0,0.0
5.600,0.0,50.3,-76.0,115.8,-90.0,0.0
5.68,0.0,50.3,-76.0,115.8,-90.0,0.0
5.76,0.0,50.3,-76.0,115.8,-90.0,0.0
5.84,0.0,50.3,-76.0,115.8,-90.0,0.0
5.92,0.0,50.3,-76.0,115.8,-90.0,0.0
6.0,0.0,50.3,-76.0,115.8,-90.0,0.0
6.08,0.0,50.3,-76.0,115.8,-90.0,0.0
6.16,0.0,50.3,-76.0,115.8,-90.0,0.0
6.24,0.0,50.3,-76.0,115.8,-90.0,0.0
6.32,0.0,50.3,-76.0,115.8,-90.0,0.0
6.4,0.0,50.3,-76.0,115.8,-90.0,0.0
6.48,0.0,50.3,-76.0,115.8,-90.0,0.0
6.560,0.0,50.3,-76.0,115.8,-90.0,0.0
6.640,0.0,50.3,-76.0,115.8,-90.0,0.0
6.72,0.0,50.3,-76.0,115.8,-90.0,0.0
6.8,0.0,50.3,-76.0,115.8,-90.0,0.0
6.88,0.0,50.3,-76.0,115.8,-90.0,0.0
6.96,0.0,50.3,-76.0,115.8,-90.0,0.0
7.04,0.0,50.3,-76.0,115.8,-90.0,0.0
7.12,0.0,50.3,-76.0,115.8,-90.0,0.0
7.2,0.0,50.3,-76.0,115.8,-90.0,0.0
7.28,0.0,50.3,-76.0,115.8,-90.0,0.0
7.36,0.0,50.3,-76.0,115.8,-90.0,0.0
7.44,0.0,50.3,-76.0,115.8,-90.0,0.0
7.520,0.0,50.3,-76.0,115.8,-90.0,0.0
7.600,0.0,50.3,-76.0,115.8,-90.0,0.0
7.68,0.0,50.3,-76.0,115.8,-90.0,0.0
7.76,0.0,50.3,-76.0,115.8,-90.0,0.0
7.84,0.0,50.3,-76.0,115.8,-90.0,0.0
7.92,0.0,50.3,-76.0,115.8,-90.0,0.0
8.0,0.0,50.3,-76.0,115.8,-90.0,0.0
8.08,0.0,50.3,-76.0,115.8,-90.0,0.0
8.16,0.0,50.3,-76.0,115.8,-90.0,0.0
8.24,0.0,50.3,-76.0,115.8,-90.0,0.0
8.32,0.0,50.3,-76.0,115.8,-90.0,0.0
8.4,0.0,50.3,-76.0,115.8,-90.0,0.0
8.48,0.0,50.3,-76.0,115.8,-90.0,0.0
8.56,0.0,50.3,-76.0,115.8,-90.0,0.0
8.64,0.0,50.3,-76.0,115.8,-90.0,0.0
8.72,0.0,50.3,-76.0,115.8,-90.0,0.0
8.8,0.0,50.3,-76.0,115.8,-90.0,0.0
8.88,0.0,50.3,-76.0,115.8,-90.0,0.0
8.96,0.0,50.3,-76.0,115.8,-90.0,0.0
9.040,0.0,50.3,-76.0,115.8,-90.0,0.0
9.120,0.0,50.3,-76.0,115.8,-90.0,0.0
9.200,0.0,50.3,-76.0,115.8,-90.0,0.0
9.28,0.0,50.3,-76.0,115.8,-90.0,0.0
9.36,0.0,50.3,-76.0,115.8,-90.0,0.0
9.44,0.0,50.3,-76.0,115.8,-90.0,0.0
9.52,0.0,50.3,-76.0,115.8,-90.0,0.0
9.6,0.0,50.3,-76.0,115.8,-90.0,0.0
9.68,0.0,50.3,-76.0,115.8,-90.0,0.0
9.76,0.0,50.3,-76.0,115.8,-90.0,0.0
9.84,0.0,50.3,-76.0,115.8,-90.0,0.0
9.92,0.0,50.3,-76.0,115.8,-90.0,0.0
10.0,0.0,50.3,-76.0,115.8,-90.0,0.0
