,J1,J2,J3,J4,J5,J6
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.0,4.6,-9.4,4.9,-1.6,0.0
0.16,0.0,9.9,-19.6,9.7,-6.2,0.0
0.24,0.0,15.3,-29.1,13.8,-13.1,0.0
0.32,0.0,20.8,-37.9,17.1,-21.7,0.0
0.4,0.0,26.2,-45.8,19.6,-31.7,0.0
0.48,0.0,31.5,-52.7,21.2,-42.3,0.0
0.56,0.0,36.7,-58.6,21.9,-53.1,0.0
0.64,0.0,41.5,-63.2,21.7,-63.4,0.0
0.72,0.0,45.9,-66.5,20.6,-72.8,0.0
0.8,0.0,49.7,-68.3,18.6,-80.6,0.0
0.88,0.0,52.7,-68.6,15.9,-86.4,0.0
0.96,0.0,54.7,-67.2,12.5,-89.6,0.0
1.04,0.0,55.6,-64.2,8.6,-90.0,0.0
1.12,0.0,56.0,-60.8,4.8,-90.0,0.0
1.2,0.0,56.2,-57.3,1.1,-90.0,0.0
1.28,0.0,56.1,-53.7,-2.4,-90.0,0.0
1.36,0.0,55.9,-50.2,-5.7,-90.0,0.0
1.44,0.0,55.5,-46.7,-8.8,-90.0,0.0
1.52,0.0,55.0,-43.3,-11.6,-90.0,0.0
1.6,0.0,54.4,-40.2,-14.2,-90.0,0.0
1.68,0.0,53.8,-37.4,-16.4,-90.0,0.0
1.76,0.0,53.2,-35.0,-18.2,-90.0,0.0
1.84,0.0,52.7,-33.2,-19.6,-90.0,0.0
1.92,0.0,52.4,-32.0,-20.4,-90.0,0.0
2.0,0.0,52.3,-31.6,-20.7,-90.0,0.0
2.08,0.0,52.4,-32.1,-20.4,-90.0,-1.7
2.16,0.0,52.8,-33.3,-19.5,-90.0,-6.5
2.24,0.0,53.3,-35.2,-18.0,-90.0,-14.3
2.32,0.0,53.8,-37.6,-16.2,-90.0,-24.7
2.4,0.0,54.4,-40.2,-14.1,-90.0,-37.4
2.48,0.0,54.9,-43.2,-11.8,-90.0,-52.3
2.56,0.0,55.4,-46.1,-9.2,-90.0,-68.9
2.64,0.0,55.8,-49.2,-6.6,-90.0,-87.0
2.72,0.0,56.0,-52.1,-3.9,-90.0,-106.4
2.800,0.0,56.2,-55.0,-1.2,-90.0,-126.7
2.88,0.0,56.2,-57.7,1.6,-90.0,-147.8
2.96,0.0,56.0,-60.3,4.3,-90.0,-169.2
3.04,0.0,55.8,-62.7,7.3,-90.0,-169.2
3.12,0.0,55.4,-64.9,13.1,-90.0,-147.8
3.2,0.0,55.0,-66.9,21.3,-90.0,-126.7
3.280,0.0,54.5,-68.7,31.5,-90.0,-106.4
3.36,0.0,53.9,-70.3,43.0,-90.0,-87.0
3.44,0.0,53.2,-71.6,55.4,-90.0,-68.9
3.52,0.0,52.6,-72.8,68.0,-90.0,-52.3
3.6,0.0,52.0,-73.8,80.2,-90.0,-37.4
3.68,0.0,51.4,-74.6,91.4,-90.0,-24.7
3.760,0.0,51.0,-75.2,101.2,-90.0,-14.3
3.84,0.0,50.6,-75.6,108.9,-90.0,-6.5
3.92,0.0,50.4,-75.9,114.0,-90.0,-1.7
4.0,0.0,50.3,-76.0,115.8,-90.0,0.0
4.08,0.0,50.3,-76.0,115.8,-90.0,0.0
4.16,0.0,50.3,-76.0,115.8,-90.0,0.0
4.24,0.0,50.3,-76.0,115.8,-90.0,0.0
4.32,0.0,50.3,-76.0,115.8,-90.0,0.0
4.4,0.0,50.3,-76.0,115.8,-90.0,0.0
4.48,0.0,50.3,-76.0,115.8,-90.0,0.0
4.560,0.0,50.3,-76.0,115.8,-90.0,0.0
4.64,0.0,50.3,-76.0,115.8,-90.0,0.0
4.72,0.0,50.3,-76.0,115.8,-90.0,0.0
4.8,0.0,50.3,-76.0,115.8,-90.0,0.0
4.88,0.0,50.3,-76.0,115.8,-90.0,0.0
4.96,0.0,50.3,-76.0,115.8,-90.0,0.0
5.04,0.0,50.3,-76.0,115.8,-90.0,0.0
5.12,0.0,50.3,-76.0,115.8,-90.0,0.0
5.2,0.0,50.3,-76.0,115.8,-90.0,0.0
